Company,Post_Number,Post_Text,Post_Link,External_Links,Likes,Comments,Reposts,Post_Date,Scraped_At
Google,1,"We’re opening our second engineering center in São Paulo, Brazil. 🇧🇷 This strategic hub will be home to hundreds of engineers specializing in privacy and safety, and includes the first Google Safety Engineering Center and Accessibility Discovery Center in Latin America. The space also is a tribute to the legacy of the late Luiz André Barroso, a Google leader whose pioneering work paved the way for Brazilian engineering excellence. The building is an adaptive reuse of a historic 1940s building, and we drew inspiration from Brazil’s rich heritage in our design details — like acoustic panels featuring hand-woven textiles from Minas Gerais weavers, whose traditional craft mirrors the binary logic of modern technology. Take a look inside → https://goo.gle/43yYBXg",https://www.linkedin.com/feed/update/urn:li:activity:7465800818236014593/,https://goo.gle/43yYBXg,692,49,38,14h,2026-05-29 12:47:05
Google,2,,https://www.linkedin.com/feed/update/urn:li:activity:7465402172311187457/,https://goo.gle/431ZKGD | https://lnkd.in/g2qgeMdC,224,13,5,1d,2026-05-29 12:47:05
Google,3,"Between data-driven client meetings and creative breaks in the music room, Senior Account Strategist Céline shows us how she balances a high-impact sales career with the best of our Dublin office. Want to join our team in Dublin? Explore our open roles → https://goo.gle/4uXlnUt",https://www.linkedin.com/feed/update/urn:li:activity:7465775860667621377/,https://goo.gle/4uXlnUt,428,28,22,16h,2026-05-29 12:47:05
Google,4,,https://www.linkedin.com/feed/update/urn:li:activity:7465866409756246016/,,156,19,11,10h,2026-05-29 12:47:06
Google,5,"Last week at Google I/O we debuted our latest models — Gemini Omni and the Gemini 3.5 series — introduced a new, intelligent Search box that will let you ask questions with text, images, files and videos and lots more. Here’s a list of 100 key announcements we made at Google I/O this year ⬇️",https://www.linkedin.com/feed/update/urn:li:activity:7465072567717060608/,,1420,48,164,2d,2026-05-29 12:47:06
Google,6,"Earlier this week at Google I/O, Sundar Pichai highlighted our growth and momentum across our products and services. Catch up on what you missed below ⬇️ And get more of Sundar’s remarks from the stage → https://goo.gle/42EMCXZ",https://www.linkedin.com/feed/update/urn:li:activity:7463671650354491392/,https://goo.gle/42EMCXZ,846,84,75,6d,2026-05-29 12:47:06
Google,7,"We’re introducing Gemini 3.5 — our latest family of AI models combining frontier intelligence with action. We’re starting the rollout with Gemini 3.5 Flash, our strongest agentic and coding model yet. Whether you're writing complex code or streamlining your daily workflow, we designed this model to help you get more done. It can tackle heavy-lifting tasks at four times the speed of comparable AI models — often at less than half the cost. Because Gemini 3.5 Flash is now our default model, you'll experience this leap in speed and intelligence across the tools you already use, from the Gemini app to AI Mode in Search and across our developer platforms. Learn more → goo.gle/4nFp9iY",https://www.linkedin.com/feed/update/urn:li:activity:7462991058268884992/,http://goo.gle/4nFp9iY,1630,192,137,1w,2026-05-29 12:47:06
Google,8,"Put 30 seconds on the clock! ⏰ Jeff Dean, Chief Scientist, explains everything you should know about agentic coding in less than 30 seconds.",https://www.linkedin.com/feed/update/urn:li:activity:7465511693423443968/,,260,28,19,1d,2026-05-29 12:47:06
Google,9,"We tasked Varun Mohan, Google DeepMind Director of Engineering, to break down our agentic AI development platform Google Antigravity and share a few tips on how he uses it.",https://www.linkedin.com/feed/update/urn:li:activity:7465483768426942464/,,337,26,14,1d,2026-05-29 12:47:06
Google,10,"Earlier this year we announced AI Inbox in Gmail to help you better manage and stay on top of your inbox by intelligently prioritizing your most important updates and time-sensitive tasks securely. At Google I/O we shared our latest updates to AI Inbox, including: 📧 AI Inbox will generate personalized draft replies so you can review and respond in seconds. 📋 Managing your to-do list in a helpful homebase screen. Mark individual tasks done, dismiss unhelpful suggestions, and mark emails read in a single click. 📂 When you need to review a Google Doc, Sheet or Slide, the relevant link is surfaced right next to your to-do item.",https://www.linkedin.com/feed/update/urn:li:activity:7465153570271756289/,,570,58,51,2d,2026-05-29 12:47:06
